Company,Company Score,Original Title,Location,Primary Title,Secondary Title,Experience Level,Min Salary,Max Salary,Avg Salary,Salary Source,Is Hourly Converted,Date
NCR,3.1,Software Dev Ops Engineer II,Unknown,Software Engineer,n/a,Intermediate,69000,143000,106000,Employer,No,3d
Clearwater Analytics,3.6,Senior Software Development Engineer,"Seattle, WA",Software Engineer,n/a,Senior,120000,140000,130000,Employer,No,9d
"Technical Intelligence Solutions, LLC",3,Software Engineer,"Crystal City, VA",Software Engineer,n/a,Intermediate,68000,120000,94000,Glassdoor,No,2d
CVS Health,3.8,Associate Software Development Engineer - Colleague Experience,"Woonsocket, RI",Software Engineer,n/a,Entry,104000,136000,120000,Glassdoor,No,29d
"Delta Defense, LLC",3.9,"Associate Engineer, Analytics","West Bend, WI",Data Engineer,n/a,Entry,82000,115000,98500,Glassdoor,No,2d
Koalafi,3.2,Backend Software Engineer,"Richmond, VA",Software Engineer,Backend,Intermediate,161000,239000,200000,Employer,No,13d
INTEL,4.1,AI Research Engineer,Unknown,Research Engineer,n/a,Intermediate,107000,150000,128500,Employer,No,17d
No.Inc,5,Software Engineer,"Baltimore, MD",Software Engineer,n/a,Intermediate,91000,122000,106500,Glassdoor,No,5d
f5,3.5,Software Engineer III,"Seattle, WA",Software Engineer,n/a,Senior,103000,144000,123500,Glassdoor,No,30d+
Arcadia Science,3.3,"Software Engineer, Product","Berkeley, CA",Software Engineer,n/a,Intermediate,80000,100000,90000,Employer,No,6d
Artint Knowledge Tech,3.5,Firmware (Linux) Dev I,Remote,Firmware Engineer,n/a,Entry,100000,128000,114000,Employer,No,5d
Castellum Inc,4.1,Software Engineer,"Patuxent River, MD",Software Engineer,n/a,Intermediate,90000,180000,135000,Employer,No,30d+
Instacart,3.7,"Senior Software Engineer, Core Experiences",Remote,Software Engineer,n/a,Senior,110000,130000,120000,Employer,No,12d
WALGREENS,4.4,Software Engineer (RxR),"Deerfield, IL",Software Engineer,n/a,Intermediate,76000,121000,98500,Glassdoor,No,1d
Duquesne Light,3.6,Software Engineer III,"Pittsburgh, PA",Software Engineer,n/a,Senior,88000,111000,99500,Employer,No,16d
Super Micro Computer,3,Software Engineer,"San Jose, CA",Software Engineer,n/a,Intermediate,73000,116000,94500,Glassdoor,No,30d+
UCare,4.4,Software Engineer Senior â€“ Azure,"Minneapolis, MN",Software Engineer,Azure,Senior,182000,273000,227500,Employer,No,19d
CyberCore Technologies,2.6,Software Engineer 0,"Annapolis Junction, MD",Software Engineer,n/a,Intermediate,85000,113000,99000,Glassdoor,No,9d
CoinFlip,3.5,AWS DevOps Engineer,"Chicago, IL",DevOps Engineer,AWS,Intermediate,65000,95000,80000,Employer,No,25d
BI Labs,4.1,SOFTWARE DEVELOPERS (021),"Plainsboro, NJ",Software Engineer,n/a,Intermediate,109000,168000,138500,Employer,No,30d+
Sahbi Systems,4.1,Software Engineers,Unknown,Software Engineer,n/a,Intermediate,80000,99000,89500,Glassdoor,No,18d
Cultura Technologies Inc,4.4,Sr Software Engineer,Remote,Software Engineer,n/a,Senior,104000,153000,128500,Glassdoor,No,1d
Excelacom,4,DevOps Engineer,"Denver, CO",DevOps Engineer,n/a,Intermediate,78000,129000,103500,Glassdoor,No,3d
Cityblock Health,4.1,Senior Software Engineer,Unknown,Software Engineer,n/a,Senior,82000,118000,100000,Glassdoor,No,9d
Rocket Software,4.3,Machine Learning Software Engineer,Unknown,ML/AI Engineer,n/a,Intermediate,138000,294000,216000,Employer,No,3d
Huntington Ingalls Industries Inc.,3.3,Software Engineer (Hybrid) - 19943,"Columbia, MD",Software Engineer,n/a,Intermediate,136000,187000,161500,Glassdoor,No,11d
Intuitive Machines LLC,3.8,Research Software Engineer,"Houston, TX",Software Engineer,n/a,Intermediate,295000,440000,367500,Employer,No,10d
Equifax,4.4,Software Engineer - Career,"Alpharetta, GA",Software Engineer,n/a,Intermediate,95000,146000,120500,Glassdoor,No,3d
Super Micro Computer,4,Software Engineer,"San Jose, CA",Software Engineer,n/a,Intermediate,117000,161000,139000,Employer,No,19d
Blockit Now Inc,3.8,Elixir Software Engineer,"McKinney, TX",Software Engineer,n/a,Intermediate,175000,250000,212500,Employer,No,5d
TENICA and Associates LLC,4.1,Software Systems Engineer TS/SCI CI poly,"Las Cruces, NM",System Engineer,n/a,Intermediate,55000,140000,97500,Employer,No,5d
Arch Capital Group Ltd.,3.9,Software Engineer II,"Greensboro, NC",Software Engineer,n/a,Intermediate,126000,234000,180000,Employer,No,5d
Lynker Corporation,3.9,Software Engineer,"Stennis Space Center, MS",Software Engineer,n/a,Intermediate,78000,129000,103500,Employer,No,30d+
YouTube,3.2,"Senior Software Engineer, Full Stack, YouTube","New York, NY",Software Engineer,Fullstack,Senior,75000,102000,88500,Glassdoor,No,1d
Perforce Software,4.2,Senior Software Engineer - US,Remote,Software Engineer,n/a,Senior,115000,150000,132500,Employer,No,2d
World Vision USA,3.8,Sr. Software Engineer,Unknown,Software Engineer,n/a,Senior,115000,160000,137500,Employer,No,16d
Featurespace,5,Software Engineer,"Atlanta, GA",Software Engineer,n/a,Intermediate,82000,92000,87000,Employer,No,30d+
Bigbear.ai,3.7,Software Engineer,"Columbia, MD",Software Engineer,n/a,Intermediate,120000,130000,125000,Employer,No,9d
"Benistar Administrative Services, Inc.",3.9,AWS Cloud Engineer,"Avon, CT",Cloud Engineer,AWS,Intermediate,86000,131000,108500,Glassdoor,No,2d
State of Colorado Job Opportunities,4.7,Cloud Engineer (Remote from anywhere in Colorado),Unknown,Cloud Engineer,n/a,Intermediate,92000,133000,112500,Glassdoor,No,2d
Intellisource Colorado LLC,3.1,Senior Software Engineer - Enterprise People Technology,"Bentonville, AR",Software Engineer,n/a,Senior,112000,165000,138500,Glassdoor,No,3d
"First Command Financial Services, Inc.",4.2,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,104000,145600,124800,Employer,Yes,2d
NBCUniversal,4.4,Post Software Engineer,"Englewood Cliffs, NJ",Software Engineer,n/a,Intermediate,145000,162000,153500,Employer,No,3d
Artera Technologies,4.4,Cloud Software Engineers,Unknown,Software Engineer,n/a,Intermediate,147000,189000,168000,Employer,No,6d
Thompson Gray Inc.,4.7,Engineer (Software),Unknown,Software Engineer,n/a,Intermediate,72000,159000,115500,Employer,No,30d+
Origence,4,Software Engineer - CUDL Modernization,Remote,Software Engineer,n/a,Intermediate,79000,111000,95000,Glassdoor,No,1d
Medius,3.6,Software Engineer,"Jacksonville, FL",Software Engineer,n/a,Intermediate,115000,161000,138000,Employer,No,30d+
f5,3.8,Principal Software Engineer,"Seattle, WA",Software Engineer,n/a,Senior,82000,102000,92000,Employer,No,4d
CNH Industrial,3.8,Software Engineer II,Remote,Software Engineer,n/a,Intermediate,86000,136000,111000,Glassdoor,No,2d
Fusion Plus Solutions Inc.,3.7,Software Engineers,"Edison, NJ",Software Engineer,n/a,Intermediate,170000,200000,185000,Employer,No,30d+
University of Florida,3.2,Software Engineer I/II,Unknown,Software Engineer,n/a,Intermediate,90000,116000,103000,Glassdoor,No,16d
Northwestern Mutual,3.8,Software Engineer,"Franklin, WI",Software Engineer,n/a,Intermediate,114000,152000,133000,Glassdoor,No,4d
Vibrint,3.8,Software Engineer I,"Annapolis Junction, MD",Software Engineer,n/a,Entry,80000,120000,100000,Employer,No,30d+
Hubbell Incorporated,3.4,Sr Assoc Software Engineer,"Avon, CT",Software Engineer,n/a,Senior,95000,126000,110500,Glassdoor,No,1d
Valkyrie Enterprises,3.8,Junior Computer/Software Engineer (Job ID: 3433),"Huntsville, AL",Software Engineer,n/a,Entry,138000,178000,158000,Employer,No,23d
Two Six Technologies,4.5,Software Engineer,"Herndon, VA",Software Engineer,n/a,Intermediate,61000,147000,104000,Employer,No,30d+
Decision Six,3.6,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,124000,211000,167500,Employer,No,5d
Microsoft,4.4,Software Engineer,"Redmond, WA",Software Engineer,n/a,Intermediate,90000,117000,103500,Glassdoor,No,4d
Ateliere Creative Technologies,4.1,Senior DevOps Engineer - Los Angeles,"Los Angeles, CA",DevOps Engineer,n/a,Senior,98000,209000,153500,Employer,No,2d
OpenAI,3.1,"Software Engineer, Hardware Health","San Francisco, CA",Firmware Engineer,n/a,Intermediate,78000,121000,99500,Glassdoor,No,5d
Two Six Technologies,2.7,Software Engineer,"Tysons Corner, VA",Software Engineer,n/a,Intermediate,100000,165000,132500,Employer,No,17d
Sasken,4.1,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,71000,112000,91500,Glassdoor,No,6d
RealmOne,3.8,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,95000,152000,123500,Employer,No,5d
The Wolf Works LLC,4.4,Node JS,"Austin, TX",Software Engineer,Node,Intermediate,86000,105000,95500,Glassdoor,No,2d
Millennium Management,3.8,Software Engineer - C#,"New York, NY",Software Engineer,C#,Intermediate,135000,216000,175500,Employer,No,30d+
"Aflac, Incorporated",4,Software Engineer III,Remote,Software Engineer,n/a,Senior,93000,112000,102500,Employer,No,1d
RingCentral,3.9,Software Engineer,"Belmont, CA",Software Engineer,n/a,Intermediate,104000,161000,132500,Glassdoor,No,24d
Dallas Area Rapid Transit,3.7,Software Engineer-BI,"Dallas, TX",Software Engineer,n/a,Intermediate,77000,121000,99000,Glassdoor,No,30d+
W R Systems,3.5,Software Engineer,"Dahlgren, VA",Software Engineer,n/a,Intermediate,95000,134000,114500,Glassdoor,No,4d
"CARECRAFT, INC",3.7,Software Engineer,"Carlsbad, CA",Software Engineer,n/a,Intermediate,125000,178000,151500,Employer,No,10d
SpecialT Tech,3.1,Cloud Engineer Manager,Remote,Cloud Engineer,n/a,Intermediate,76000,108000,92000,Glassdoor,No,25d
"Hottinger, Bruel & Kjaer",4.5,Software Engineer,"Pompano Beach, FL",Software Engineer,n/a,Intermediate,77000,116000,96500,Glassdoor,No,30d+
"CPS Solutions, LLC",4.1,DevOps Engineer,Unknown,DevOps Engineer,n/a,Intermediate,82000,106000,94000,Glassdoor,No,3d
Northwestern Memorial Healthcare,4.2,Software Developers,"Chicago, IL",Software Engineer,n/a,Intermediate,86000,120000,103000,Glassdoor,No,10d
